,"programming","c++","python","java","creativeCoding","openFrameworks","processing","arduino","revision","subversion","bazaar","text proc","bash","sed","perl","gawk","documentation","doxygen","IDE","eclipse","reporting","tableau","math","matlab","octave","maple","root","statistics","R ","text mining","SPSS","web","html","css","javascript","ajax/jquery","cordova","php","apache","database","mysql","postgresql","mongodb","neo4j","hdfs","tracking","webtrends","tealium","tealeaf","maxymiser","splunk","API","graphics","openGL","Qt4","GTK+","scientific","gsl","numpy","scipy","CGAL","parallel","msub","MPI-openMP","visualization","mayavi","povray","ERP/CRM","odoo","CAD","rhino","blender","GIS","qgis","openLayers"
"ajax/jquery",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10,5,0,7,7,3,6,5,0,10,3,5,5,5,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"cordova",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10,0,10,10,3,5,5,0,5,0,0,0,0,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,7
"php",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,10,10,10,10,10,5,0,0,0,0,0,0,10,2,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,6,0,4
"apache",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,3,3,3,3,3,6,3,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"database",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10,10,10,10,10,6,3,6,6,6,6,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,10,10,0,0,0,10,10,10
"mysql",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,4,4,7,5,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,8,8,0,0,0,4,4,4
"postgresql",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,10,10,0,0,0,0,0,0
"mongodb",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,7,5,7,7,7,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,4,0
"neo4j",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,10,0,0,0,0,0,0,0,0,0
"hdfs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,3,3,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
"tracking",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
