#Spettro2d
0.000000 0.000000 0.000000
0.000000 0.157080 0.000037
0.000000 0.314159 0.000230
0.000000 0.471239 0.001405
0.000000 0.628319 0.235556
0.000000 0.785398 0.003667
0.000000 0.942478 0.000984
0.000000 1.099557 0.000489
0.000000 1.256637 0.000307
0.000000 1.413717 0.000217
0.000000 1.570796 0.000166
0.000000 1.727876 0.000134
0.000000 1.884956 0.000113
0.000000 2.042035 0.000098
0.000000 2.199115 0.000087
0.000000 2.356194 0.000079
0.000000 2.513274 0.000073
0.000000 2.670354 0.000069
0.000000 2.827433 0.000066
0.000000 2.984513 0.000064
0.000000 3.141593 0.000063
0.000000 3.298672 0.000063
0.000000 3.455752 0.000064
0.000000 3.612832 0.000066
0.000000 3.769911 0.000069
0.000000 3.926991 0.000073
0.000000 4.084070 0.000079
0.000000 4.241150 0.000087
0.000000 4.398230 0.000098
0.000000 4.555309 0.000113
0.000000 4.712389 0.000134
0.000000 4.869469 0.000166
0.000000 5.026548 0.000217
0.000000 5.183628 0.000307
0.000000 5.340708 0.000489
0.000000 5.497787 0.000984
0.000000 5.654867 0.003667
0.000000 5.811946 0.235556
0.000000 5.969026 0.001405
0.000000 6.126106 0.000230
0.000000 6.283185 0.000037
0.157080 0.000000 0.000000
0.157080 0.157080 0.000037
0.157080 0.314159 0.000230
0.157080 0.471239 0.001405
0.157080 0.628319 0.235556
0.157080 0.785398 0.003667
0.157080 0.942478 0.000984
0.157080 1.099557 0.000489
0.157080 1.256637 0.000307
0.157080 1.413717 0.000217
0.157080 1.570796 0.000166
0.157080 1.727876 0.000134
0.157080 1.884956 0.000113
0.157080 2.042035 0.000098
0.157080 2.199115 0.000087
0.157080 2.356194 0.000079
0.157080 2.513274 0.000073
0.157080 2.670354 0.000069
0.157080 2.827433 0.000066
0.157080 2.984513 0.000064
0.157080 3.141593 0.000063
0.157080 3.298672 0.000063
0.157080 3.455752 0.000064
0.157080 3.612832 0.000066
0.157080 3.769911 0.000069
0.157080 3.926991 0.000073
0.157080 4.084070 0.000079
0.157080 4.241150 0.000087
0.157080 4.398230 0.000098
0.157080 4.555309 0.000113
0.157080 4.712389 0.000134
0.157080 4.869469 0.000166
0.157080 5.026548 0.000217
0.157080 5.183628 0.000307
0.157080 5.340708 0.000489
0.157080 5.497787 0.000984
